g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s,g
0,0.019230769,0.054347826,0.026809651,0.133333333,0.05,0.009345794,0.026315789,0.046153846,0,0,0.016959151,0.267724483,0.086645335,0.086135335,0.230266811,0.007371691,0.091000971,0.213896224,0,3.875628949,1.792391689
0,0,0.018115942,0.026809651,0.133333333,0.003571429,0,0,0,0,0,0,0.28937725,0.337710067,0.055480176,0.317432506,0,0,0,0,2.971280489,1.255272505
0,0,0.003623188,0.021447721,0.066666667,0,0,0,0.038461538,0,0,0,0.078997341,0.155932939,0.03814226,0,0,0.726927459,0,0,2.742670154,1.176091259
0.11627907,0.057692308,0.050724638,0.021447721,0.066666667,0.039285714,0,0.010121457,0.076923077,0,0.102108057,0.00510908,0.187517082,0.037004547,0.001409536,0.367638982,0,0.194793828,0.104418889,0,4.186582308,1.755874856
0,0,0,0.056300268,0.133333333,0,0,0.034412955,0.038461538,0,0,0,0,0.361816409,0.029970067,0,0,0.080579388,0.527634136,0,3.667169869,1.653212514
0,0,0.014492754,0.048257373,0.266666667,0.003571429,0,0.004048583,0.007692308,0,0,0,0.148081415,0.639523979,0.120142754,0.017818223,0,0.036443997,0.037989632,0,3.362342965,1.477121255
0,0,0.014492754,0.008042895,0.133333333,0.003571429,0,0.004048583,0.007692308,0,0,0,0.326465079,0.114612709,0.217677693,0.081307507,0,0.172660093,0.087276919,0,2.68646645,1.113943352
0,0,0.043478261,0.042895442,0.066666667,0.057142857,0.009345794,0.006072874,0,0,0,0,0.227830002,0.192163135,0.045755559,0.356766716,0.002655457,0,0.174829132,0,3.689804152,1.69019608
0.069767442,0,0.003623188,0.010723861,0.066666667,0.014285714,0.009345794,0.012145749,0.046153846,0,0.1092899,0,0.025224576,0.159267099,0.079345798,0.131298427,0.145062718,0.237047687,0.113463794,0,3.700849899,1.414973348
0.046511628,0.096153846,0.112318841,0.064343164,0.066666667,0.096428571,0.074766355,0.072874494,0.207692308,0.022222222,0.011140923,0.004283066,0.130450929,0.085597365,0.016802163,0.121467528,0.014109257,0.296058692,0.314819285,0.005270791,4.287532563,2.209515015
0,0,0.014492754,0,0,0,0,0.028340081,0.038461538,0,0,0,0.102220158,0,0,0,0,0.402301725,0.495478117,0,3.225208452,1.361727836
0,0,0.028985507,0.008042895,0.066666667,0.017857143,0,0,0,0,0,0,0.401585374,0.07847832,0.014746648,0.505189658,0,0,0,0,3.536742726,1.230448921
0,0.115384615,0.025362319,0,0,0.007142857,0.018691589,0,0,0,0,0.180309706,0.657098932,0,0,0.122989187,0.039602175,0,0,0,3.066076088,1.230448921
0,0,0.010869565,0.002680965,0,0,0,0.030364372,0.061538462,0,0,0,0.057522048,0.007181638,0,0,0,0.190545134,0.74475118,0,3.717807758,1.431363764
0.023255814,0,0.007246377,0.00536193,0,0.017857143,0,0.066801619,0.061538462,0,0.019316661,0,0.014441754,0.014728735,0,0.073875513,0,0.165210461,0.712426876,0,3.901983299,1.707570176
0.023255814,0,0.010869565,0.002680965,0,0.010714286,0,0.018218623,0.053846154,0,0.112314523,0,0.073231178,0.005146431,0,0.095498982,0,0.349788553,0.364020333,0,3.277943687,1.380211242
0.046511628,0.019230769,0.043478261,0.08310992,0,0.082142857,0.009345794,0.068825911,0.107692308,0,0.007811595,0.000934718,0.089048679,0.291379551,0,0.222625337,0.005901131,0.1002825,0.282016489,0,4.480337859,2.071882007
0,0.096153846,0.115942029,0.069705094,0.066666667,0.067857143,0.046728972,0.04048583,0.076923077,0,0,0.05413034,0.288194583,0.078167546,0.002545245,0.254334486,0.037874124,0.047273538,0.237480137,0,4.357698397,2.071882007
0,0,0.018115942,0.013404826,0.066666667,0.028571429,0,0.006072874,0.007692308,0,0,0,0.204589092,0.089109339,0.038392347,0.477988618,0,0.052490011,0.137430593,0,3.063040477,1.361727836
0.023255814,0,0.028985507,0.026809651,0.066666667,0.039285714,0.018691589,0.01417004,0.061538462,0,0.040797232,0,0.209666275,0.146551625,0.046770999,0.21428119,0.018684217,0.192729565,0.130518897,0,3.540769804,1.681241237
0,0.038461538,0.079710145,0.069705094,0.066666667,0.107142857,0.028037383,0.030364372,0.038461538,0,0,0.005427514,0.280886196,0.112709173,0.028612718,0.355502154,0.007156857,0.071426176,0.138279212,0,4.230318358,2.017033339
0,0,0,0.016085791,0,0.003571429,0,0.002024291,0.053846154,0,0,0,0,0.442059925,0,0.046827851,0,0.253471396,0.257640828,0,2.902367372,1.176091259
0,0,0.039855072,0.037533512,0.133333333,0.007142857,0.018691589,0.022267206,0.053846154,0,0,0,0.234386028,0.26461557,0.073948059,0.135167255,0.011890327,0.099230839,0.180761922,0,3.219492838,1.69019608
0,0,0.010869565,0,0,0.010714286,0,0.022267206,0.046153846,0,0,0,0.097888388,0,0,0.055537518,0,0.246225696,0.600348397,0,3.204559483,1.361727836
0,0,0.06884058,0.072386059,0.066666667,0.071428571,0.028037383,0.01417004,0.1,0,0,0,0.16766389,0.204273011,0.029551955,0.431380117,0.006169574,0.108741971,0.052219481,0,4.413891946,1.954242509
0,0,0.02173913,0.021447721,0.066666667,0.007142857,0.009345794,0.008097166,0.023076923,0,0,0,0.23854441,0.189483345,0.093437062,0.113282526,0.015857151,0.230207392,0.119188114,0,3.318288775,1.397940009
0.023255814,0,0.032608696,0.021447721,0.133333333,0.096428571,0.018691589,0.002024291,0,0,0.017770741,0,0.090016986,0.029766788,0.034452354,0.808316417,0.01832805,0,0.001348665,0,4.237079036,1.698970004
0,0,0,0.034852547,0.133333333,0.003571429,0,0.01417004,0.046153846,0,0,0,0,0.226585953,0.179971645,0.011206877,0,0.19235772,0.389877805,0,3.346714736,1.462397998
0,0,0.025362319,0.026809651,0.066666667,0.003571429,0.009345794,0.002024291,0,0,0,0,0.338498669,0.418143587,0.12011477,0.075822707,0.036046861,0,0.011373406,0,2.984711793,1.322219295
0,0,0.010869565,0.021447721,0.066666667,0.003571429,0,0.048582996,0.092307692,0,0,0,0.423066072,0.013721314,0.000877237,0.015129708,0,0.19902902,0.348176648,0,4.123581511,1.69019608
0,0.019230769,0.025362319,0.050938338,0.133333333,0.032142857,0.018691589,0.020242915,0,0,0,0.003989608,0.130569638,0.121215955,0.028700848,0.473036091,0.005446787,0,0.237041073,0,3.61391367,1.698970004
0,0,0.02173913,0.013404826,0,0.021428571,0,0.002024291,0.015384615,0,0,0,0.36535095,0.072774258,0,0.386712237,0,0.15771924,0.017443314,0,2.982126444,1.301029996
0,0,0.039855072,0.037533512,0,0.021428571,0,0.008097166,0.007692308,0,0,0,0.320091171,0.377856084,0,0.131745765,0,0.113432335,0.056874645,0,3.331512325,1.556302501
0,0,0.010869565,0.067024129,0.066666667,0.028571429,0,0.004048583,0,0,0,0,0.038432703,0.368815131,0.052579368,0.51711776,0,0,0.023055038,0,3.484930177,1.591064607
