g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s,g
0,0,0,0.021447721,0.133333333,0,0,0.020242915,0.015384615,0,0,0,0,0.361074662,0.023526449,0,0,0.243747266,0.371651623,0,3.178671971,1.342422681
0,0,0.010869565,0.010723861,0.066666667,0.007142857,0,0.004048583,0,0,0,0,0.16967975,0.210635736,0.096828683,0.407428903,0,0,0.115426928,0,3.06236008,1.079181246
0,0,0.018115942,0.034852547,0.066666667,0.003571429,0,0.004048583,0.007692308,0,0,0,0.570446366,0.334904066,0.001717865,0.025449846,0,0.012231832,0.055250025,0,3.400494817,1.361727836
0,0,0.054347826,0.056300268,0.133333333,0.042857143,0.009345794,0.022267206,0.084615385,0.022222222,0,0,0.168205954,0.200755459,0.052913696,0.073936079,0.004185304,0.311563129,0.188439209,1.16908E-06,3.932156045,1.86923172
0,0,0,0.008042895,0,0.003571429,0,0.024291498,0.023076923,0,0,0,0,0.217791422,0,0.043585143,0,0.223506284,0.515117151,0,3.428253075,1.278753601
0,0,0.025362319,0,0,0.017857143,0,0.030364372,0.069230769,0,0,0,0.161884685,0,0,0.057805908,0,0.24208439,0.538225017,0,3.584067627,1.556302501
0,0,0,0.00536193,0,0.007142857,0,0,0.046153846,0,0,0,0,0.034614435,0,0.185894948,0,0.779490617,0,0,3.054582415,1
0.046511628,0.211538462,0.028985507,0.016085791,0,0.014285714,0.018691589,0.018218623,0,0,0.105501262,0.131419628,0.125544051,0.047491325,0,0.040673835,0.028421963,0,0.520947936,0,3.455741476,1.62324929
0.046511628,0,0.014492754,0.069705094,0.066666667,0.007142857,0.009345794,0.052631579,0.069230769,0,0.022264885,0,0.049719232,0.295007765,0.019878519,0.011119338,0.001015614,0.244274229,0.356720418,0,3.882572917,1.851258349
0,0,0.010869565,0,0,0.003571429,0,0.012145749,0,0,0,0,0.354367963,0,0,0.058683069,0,0,0.586948968,0,3.830168284,1
0,0,0.010869565,0,0,0.007142857,0,0.024291498,0.015384615,0.022222222,0,0,0.18313771,0,0,0.164464208,0,0.082243184,0.518492528,0.05166237,3.131551302,1.301029996
0.023255814,0,0.032608696,0.013404826,0.066666667,0.017857143,0,0.028340081,0.069230769,0,0.00805533,0,0.052064936,0.029250416,0.060838366,0.015492119,0,0.579413922,0.254884911,0,4.276074443,1.643452676
0,0,0.025362319,0.018766756,0.066666667,0.010714286,0,0.034412955,0.153846154,0,0,0,0.143566607,0.179063062,0.050435904,0.025138234,0,0.4847332,0.117062994,0,3.770542743,1.740362689
0,0,0.032608696,0.032171582,0.133333333,0.042857143,0.009345794,0.01417004,0.030769231,0,0,0,0.140247884,0.065243682,0.024077599,0.537723868,0.002490406,0.096299378,0.133917183,0,3.55989825,1.672097858
