g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s,g
0.046511628,0,0.028985507,0.032171582,0.066666667,0.053571429,0,0.032388664,0.038461538,0,0.00496132,0,0.08992248,0.202786482,0.088032794,0.344941958,0,0.075376282,0.193978684,0,4.349334264,1.770852012
0,0.115384615,0.112318841,0.037533512,0,0.092857143,0.018691589,0.026315789,0.230769231,0,0,0.005166204,0.141600537,0.039502323,0,0.437917761,0.001134566,0.3007843,0.073894308,0,4.495887475,2.086359831
0,0,0.010869565,0.058981233,0.066666667,0.039285714,0,0.036437247,0.076923077,0,0,0,0.135505725,0.196125728,0.028284272,0.20185971,0,0.127682733,0.310541832,0,3.827117154,1.812913357
0.046511628,0.019230769,0.018115942,0.013404826,0,0.017857143,0.009345794,0.042510121,0.030769231,0,0.130067561,0.002029717,0.168371214,0.048158136,0,0.204127367,0.001429086,0.120072241,0.325744678,0,3.683790649,1.643452676
0,0,0.007246377,0.008042895,0,0.003571429,0,0.024291498,0.015384615,0,0,0,0.018190933,0.014243526,0,0.014155057,0,0.153430706,0.799979778,0,3.375427659,1.301029996
0.023255814,0.038461538,0.09057971,0.042895442,0.066666667,0.089285714,0.093457944,0.038461538,0.007692308,0,0.005982984,0.00381944,0.201172326,0.048488034,0.000386779,0.496038902,0.122495245,0.002886336,0.118729954,0,4.31562739,2
0,0,0.010869565,0.010723861,0.066666667,0.010714286,0,0.008097166,0.053846154,0,0,0,0.028693303,0.023024597,0.007099954,0.012780722,0,0.910173117,0.018228308,0,3.395735154,1.342422681
0,0,0.014492754,0.021447721,0.066666667,0.010714286,0,0.01417004,0.030769231,0,0,0,0.084365455,0.143831402,0.006974683,0.03940198,0,0.570217662,0.155208819,0,3.859250611,1.431363764
0,0,0,0.013404826,0.066666667,0,0,0.016194332,0.007692308,0,0,0,0,0.163885539,0.096334617,0,0,0.008602694,0.731177149,0,3.188236435,1.176091259
0,0,0.010869565,0.010723861,0,0,0,0.020242915,0.046153846,0,0,0,0.09691404,0.046429712,0,0,0,0.609189173,0.247467074,0,3.014264255,1.361727836
0.023255814,0,0.057971014,0.034852547,0.066666667,0.078571429,0,0.030364372,0.046153846,0.022222222,0.015461883,0,0.153677555,0.11170668,0.051271062,0.160263774,0,0.198610601,0.306573877,0.002434568,3.867642467,1.875061263
0,0,0.014492754,0.034852547,0.133333333,0.007142857,0,0.016194332,0.023076923,0,0,0,0.110460328,0.314465303,0.029986891,0.036276701,0,0.289896388,0.218914388,0,3.677614252,1.505149978
0,0.019230769,0.02173913,0.021447721,0.133333333,0.05,0,0.002024291,0,0,0,0.00259792,0.233240091,0.304064274,0.195885097,0.257614976,0,0,0.006597642,0,3.499717317,1.505149978
0.069767442,0,0.025362319,0.09919571,0.133333333,0.007142857,0,0.050607287,0.023076923,0.022222222,0.028755,0,0.044965661,0.740474991,0.006257491,0.00601473,0,0.054930673,0.118084355,0.000517099,4.607817535,1.903089987
0,0,0.010869565,0,0,0.017857143,0,0.016194332,0.023076923,0,0,0,0.181160569,0,0,0.142417035,0,0.181530562,0.494891834,0,3.122002776,1.278753601
0,0,0.02173913,0.032171582,0.066666667,0.010714286,0,0.036437247,0.061538462,0,0,0,0.104973641,0.152164895,0.021476104,0.1064774,0,0.225991703,0.388916256,0,3.364400889,1.681241237
0,0,0.036231884,0.042895442,0.066666667,0.021428571,0.018691589,0.022267206,0.007692308,0,0,0,0.231835227,0.243771813,0.103414829,0.086902243,0.020605926,0.047282245,0.266187718,0,3.634420838,1.672097858
0,0,0,0,0,0.003571429,0,0.022267206,0.061538462,0,0,0,0,0,0,0.021435004,0,0.317453953,0.661111043,0,3.209831237,1.301029996
0,0,0.010869565,0,0,0,0,0.032388664,0.007692308,0,0,0,0.085067241,0,0,0,0,0.03628844,0.878644319,0,3.461172759,1.301029996
0,0,0.003623188,0.016085791,0,0.032142857,0.009345794,0.010121457,0.038461538,0,0,0,0.002613414,0.044760789,0,0.745869819,0.0066247,0.139519831,0.060611448,0,3.818320267,1.431363764
0.046511628,0.038461538,0.018115942,0.008042895,0.066666667,0.017857143,0,0.018218623,0.061538462,0,0.06608394,0.009480325,0.163487815,0.019044995,0.024724193,0.067866421,0,0.571133366,0.078178945,0,3.551064329,1.544068044
0,0.038461538,0.018115942,0.008042895,0,0,0.009345794,0.008097166,0.030769231,0,0,0.035547463,0.563856755,0.032838779,0,0,0.038635749,0.139526205,0.189595048,0,3.19152367,1.278753601
0,0,0.047101449,0.00536193,0,0.042857143,0,0.030364372,0,0,0,0,0.21948249,0.012780266,0,0.379447107,0,0,0.388290137,0,3.580899898,1.62324929
0.023255814,0.057692308,0.018115942,0.037533512,0.066666667,0.032142857,0.056074766,0.010121457,0.030769231,0,0.021348777,0.013659633,0.224202883,0.13375363,0.010446321,0.252037338,0.046652087,0.08391063,0.213988702,0,3.691154016,1.681241237
0,0,0.025362319,0.032171582,0.066666667,0.007142857,0,0.018218623,0.030769231,0,0,0,0.171789015,0.200949408,0.055196112,0.267969318,0,0.1818347,0.122261447,0,3.488821361,1.544068044
0,0.038461538,0.032608696,0.029490617,0.066666667,0.021428571,0.028037383,0.026315789,0.023076923,0,0,0.006369241,0.137812184,0.148827332,0.032201064,0.064667817,0.018376171,0.028395897,0.563350294,0,3.739980342,1.681241237
0,0,0.014492754,0.00536193,0,0,0,0.01417004,0.076923077,0,0,0,0.327569622,0.042348693,0,0,0,0.471142019,0.158939666,0,3.40424514,1.361727836
0.023255814,0,0.028985507,0.008042895,0,0.017857143,0,0.028340081,0.038461538,0,0.062747316,0,0.106130761,0.064783832,0,0.062065649,0,0.345497744,0.358774696,0,3.5484447,1.556302501
0,0,0.003623188,0.00536193,0.066666667,0.032142857,0.009345794,0.004048583,0,0,0,0,0.013552295,0.030352855,0.004604499,0.912069145,0.002672284,0,0.036748923,0,3.475120345,1.204119983
